symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ADAPAX,0.00000000,0.000,0.00000000,0.03257000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ADAUSDC,0.00000000,0.000,0.00000000,0.43520000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
NEOPAX,0.00000000,0.000,0.00000000,11.12200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
NEOUSDC,0.00000000,0.000,0.00000000,28.27000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
DASHBNB,0.00000000,0.000,0.00000000,0.11830000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
DASHUSDT,-0.78000000,-3.019,25.41881791,25.84000000,25.06000000,491.02000000,25.05000000,239.09700000,25.06000000,669.45900000,25.84000000,26.05000000,24.65000000,63338.91600000,1610000.37234000,1697476597921,1697562997921,73381074,73391492,10419
NANOUSDT,0.00000000,0.000,0.00000000,2.22400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
OMGBNB,0.00000000,0.000,0.00000000,0.03938000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
OMGUSDT,-0.01300000,-2.802,0.46058082,0.46400000,0.45100000,2000.50000000,0.45100000,8921.90000000,0.45200000,51781.60000000,0.46400000,0.47500000,0.43700000,4114679.70000000,1895142.55300000,1697476606272,1697563006272,117261929,117270097,8169
THETAUSDT,-0.00200000,-0.333,0.60129247,0.60000000,0.59900000,573.00000000,0.59900000,3725.10000000,0.60000000,52060.60000000,0.60100000,0.60900000,0.58600000,2717578.20000000,1634059.30720000,1697476608931,1697563008931,152669408,152678767,9360
ENJUSDT,0.00070000,0.326,0.21684734,0.21510000,0.21570000,1054.00000000,0.21550000,3038.40000000,0.21570000,11179.10000000,0.21500000,0.21980000,0.21120000,5679042.50000000,1231485.27185000,1697476609696,1697563009696,88952018,88964274,12257
MITHUSDT,0.00000000,0.000,0.00000000,0.00345000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
MATICBNB,-0.00000400,-0.162,0.00245979,0.00246400,0.00245900,856.10000000,0.00245900,463.90000000,0.00246200,960.70000000,0.00246300,0.00249600,0.00239400,258083.70000000,634.83181790,1697476603995,1697563003995,11006618,11008241,1624
